Unnamed: 0,ID,emotion,text,tokens
0,0,joy,when i understood that i was admitted to the university ,"['when', 'i', 'understood', 'that', 'i', 'was', 'admitted', 'to', 'the', 'university', '']"
1,1,fear,i broke a window of a neighbouring house and i feared my mother s judgement and action on what i had done ,"['i', 'broke', 'a', 'window', 'of', 'a', 'neighbouring', 'house', 'and', 'i', 'feared', 'my', 'mother', 's', 'judgement', 'and', 'action', 'on', 'what', 'i', 'had', 'done', '']"
2,2,joy,got a big fish in fishing ,"['got', 'a', 'big', 'fish', 'in', 'fishing', '']"
3,3,fear,whenever i am alone in a dark room  walk alone on the street  sleep alone in the room at night or see something which is only partly visible   this emotion was very strong when as an 8 year   old child i saw something horrible   ,"['whenever', 'i', 'am', 'alone', 'in', 'a', 'dark', 'room', '', 'walk', 'alone', 'on', 'the', 'street', '', 'sleep', 'alone', 'in', 'the', 'room', 'at', 'night', 'or', 'see', 'something', 'which', 'is', 'only', 'partly', 'visible', '', '', 'this', 'emotion', 'was', 'very', 'strong', 'when', 'as', 'an', '8', 'year', '', '', 'old', 'child', 'i', 'saw', 'something', 'horrible', '', '', '']"
4,4,shame,i bought a possible answer to a homework problem which was completely inapplicable to the question due to my not having read about the subject matter ,"['i', 'bought', 'a', 'possible', 'answer', 'to', 'a', 'homework', 'problem', 'which', 'was', 'completely', 'inapplicable', 'to', 'the', 'question', 'due', 'to', 'my', 'not', 'having', 'read', 'about', 'the', 'subject', 'matter', '']"
5,5,disgust,i read about a murderer who brutalized his victims by cutting open their stomaches and taking out their bowels ,"['i', 'read', 'about', 'a', 'murderer', 'who', 'brutalized', 'his', 'victims', 'by', 'cutting', 'open', 'their', 'stomaches', 'and', 'taking', 'out', 'their', 'bowels', '']"
6,6,joy,the day that my boyfriend appeared at home with a pair of rings for our wedding ,"['the', 'day', 'that', 'my', 'boyfriend', 'appeared', 'at', 'home', 'with', 'a', 'pair', 'of', 'rings', 'for', 'our', 'wedding', '']"
7,7,guilt,i went to a pub with a group of friends  not very close  and i was with one girl most of the time  while the other girls in the group wanted to be with me   they stopped talking to the girl i was with ,"['i', 'went', 'to', 'a', 'pub', 'with', 'a', 'group', 'of', 'friends', '', 'not', 'very', 'close', '', 'and', 'i', 'was', 'with', 'one', 'girl', 'most', 'of', 'the', 'time', '', 'while', 'the', 'other', 'girls', 'in', 'the', 'group', 'wanted', 'to', 'be', 'with', 'me', '', '', 'they', 'stopped', 'talking', 'to', 'the', 'girl', 'i', 'was', 'with', '']"
8,8,anger,had an insulting letter from my father ,"['had', 'an', 'insulting', 'letter', 'from', 'my', 'father', '']"
9,9,sadness,  no response  ,"['', '', 'no', 'response', '', '']"
10,10,fear,i was to be given an audition to get a role  i had a competitress and i wasn t well prepared because i was ill ,"['i', 'was', 'to', 'be', 'given', 'an', 'audition', 'to', 'get', 'a', 'role', '', 'i', 'had', 'a', 'competitress', 'and', 'i', 'wasn', 't', 'well', 'prepared', 'because', 'i', 'was', 'ill', '']"
11,11,anger,my mother and my sister carried on picking at me all day long for no reason at all and i ended up getting angry ,"['my', 'mother', 'and', 'my', 'sister', 'carried', 'on', 'picking', 'at', 'me', 'all', 'day', 'long', 'for', 'no', 'reason', 'at', 'all', 'and', 'i', 'ended', 'up', 'getting', 'angry', '']"
12,12,guilt,when i see that my mother forces my little brother  15 years  to work very hard for school  i don t agree that she constantly puts him to work  but i don t tell it to her  so nothing changes ,"['when', 'i', 'see', 'that', 'my', 'mother', 'forces', 'my', 'little', 'brother', '', '15', 'years', '', 'to', 'work', 'very', 'hard', 'for', 'school', '', 'i', 'don', 't', 'agree', 'that', 'she', 'constantly', 'puts', 'him', 'to', 'work', '', 'but', 'i', 'don', 't', 'tell', 'it', 'to', 'her', '', 'so', 'nothing', 'changes', '']"
13,13,joy,when we got a young dog ,"['when', 'we', 'got', 'a', 'young', 'dog', '']"
14,14,anger,i am a teacher in arts and crafts  boys from 15 16 years   for them it is obligatory and they dislike it  they tease me  when one of them cut up some material i flared up ,"['i', 'am', 'a', 'teacher', 'in', 'arts', 'and', 'crafts', '', 'boys', 'from', '15', '16', 'years', '', '', 'for', 'them', 'it', 'is', 'obligatory', 'and', 'they', 'dislike', 'it', '', 'they', 'tease', 'me', '', 'when', 'one', 'of', 'them', 'cut', 'up', 'some', 'material', 'i', 'flared', 'up', '']"
15,15,anger,when i saw my brother being attacked and i could not do anything ,"['when', 'i', 'saw', 'my', 'brother', 'being', 'attacked', 'and', 'i', 'could', 'not', 'do', 'anything', '']"
16,16,shame,when my boyfriend revealed that he knew that i had discovered things of an important nature about him  i felt ashamed as i had not mentioned it earlier ,"['when', 'my', 'boyfriend', 'revealed', 'that', 'he', 'knew', 'that', 'i', 'had', 'discovered', 'things', 'of', 'an', 'important', 'nature', 'about', 'him', '', 'i', 'felt', 'ashamed', 'as', 'i', 'had', 'not', 'mentioned', 'it', 'earlier', '']"
17,17,guilt,after i had cheated my parents that i had lost my textbooks so they had to send me money ,"['after', 'i', 'had', 'cheated', 'my', 'parents', 'that', 'i', 'had', 'lost', 'my', 'textbooks', 'so', 'they', 'had', 'to', 'send', 'me', 'money', '']"
